anime_id,name,genre,type,episodes,rating,members,episode_class
31174,Osomatsu-san,"Comedy, Parody",TV,25,8.27,60988,1
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,13,8.27,60918,1
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628,1
23283,Zankyou no Terror,"Psychological, Thriller",TV,11,8.26,342893,1
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334,1
18689,Diamond no Ace,"Comedy, School, Shounen, Sports",TV,75,8.25,81384,4
22043,Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25,255076,4
31988,Hibike! Euphonium 2,"Drama, Music, School",TV,13,8.25,47716,1
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25,120089,1
1453,Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96,8.25,22079,4
23623,Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230,1
1559,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112,3
23289,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,12,8.24,292622,1
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584,1
4814,Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.24,87617,1
12031,Kingdom,"Action, Historical, Military, Seinen",TV,38,8.24,54211,2
8129,Kuragehime,"Comedy, Josei, Slice of Life",TV,11,8.24,108053,1
14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513,1
2581,Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351,1
30015,ReLIFE,"Romance, School, Slice of Life",TV,13,8.24,202249,1
1827,Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,26,8.24,106888,1
25013,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23,216674,1
27833,Durarara!!x2 Ketsu,"Action, Mystery, Supernatural",TV,12,8.23,115295,1
1974,Glass no Kamen (2005),"Drama, Shoujo",TV,51,8.23,17038,3
8425,Gosick,"Drama, Historical, Mystery, Romance",TV,24,8.23,232113,1
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,26,8.23,68128,1
18679,Kill la Kill,"Action, Comedy, School, Super Power",TV,24,8.23,508118,1
2034,Lovely★Complex,"Comedy, Romance, Shoujo",TV,24,8.23,235003,1
721,Princess Tutu,"Comedy, Fantasy, Magic, Romance",TV,38,8.23,73218,2
2402,Ashita no Joe,"Drama, Sports",TV,79,8.22,15442,4
6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590,4
31741,Magi: Sinbad no Bouken (TV),"Action, Adventure, Fantasy, Magic, Shounen",TV,13,8.22,73480,1
440,Shoujo Kakumei Utena,"Drama, Fantasy, Psychological, Shoujo",TV,39,8.22,77464,2
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,12,8.21,171086,1
3927,Mobile Suit Gundam 00 Second Season,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.21,86972,1
11597,Nisemonogatari,"Comedy, Mystery, Supernatural",TV,11,8.21,260062,1
28025,Tsukimonogatari,"Comedy, Mystery, Supernatural",TV,4,8.21,111009,0
24833,Ansatsu Kyoushitsu (TV),"Action, Comedy, School, Shounen",TV,22,8.20,312654,1
